pi_rx_time_ns,topic,type,node,protocol,exp,t_local_us,bus_v,current_mA,power_mW,wifi_rssi,mqtt_retain,pipeline_version
1776142571441692000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,49063484,5.04375,64,324.8855,-28,0,0.2.1
1776142572741663000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,50363477,5.0475,63.80457,320,-28,0,0.2.1
1776142573741899000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,51363473,5.04875,63.80457,320,-28,0,0.2.1
1776142574141905000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,51763523,5.045,63.80457,320,-28,0,0.2.1
1776142574342289000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,51963518,5.04375,64,324.8855,-28,0,0.2.1
1776142574841594000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,52463484,5.045,64,324.8855,-28,0,0.2.1
1776142576142728000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,53763490,5.045,63.80457,320,-28,0,0.2.1
1776142576243105000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,53863494,5.045,64,300.458,-28,0,0.2.1
1776142576441715000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,54063520,5.04625,63.70687,320,-28,0,0.2.1
1776142576541024000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,54163516,5.045,64,324.8855,-28,0,0.2.1
1776142577141669000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,54763523,5.045,64,324.8855,-28,0,0.2.1
1776142577441911000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,55063465,5.0475,64,324.8855,-28,0,0.2.1
1776142579643131000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,57263465,5.0425,64.78167,320,-28,0,0.2.1
1776142586342153000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,63963568,5.0425,64.19542,320,-28,0,0.2.1
1776142587041772000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,64663520,5.0425,64,327.3282,-28,0,0.2.1
1776142587641713000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,65263435,5.04375,64,324.8855,-28,0,0.2.1
1776142587741922000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,65363555,5.04375,64,324.8855,-28,0,0.2.1
1776142588041692000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,65663446,5.04375,64,320,-28,0,0.2.1
1776142588347899000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,65963499,5.0425,64,305.3435,-28,0,0.2.1
1776142588641737000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,66263446,5.04375,64,324.8855,-28,0,0.2.1
1776142588741868000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,66363555,5.045,64,324.8855,-28,0,0.2.1
1776142589041693000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,66663520,5.04375,64,320,-28,0,0.2.1
1776142589141371000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,66763566,5.04375,64,324.8855,-28,0,0.2.1
1776142589344011000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,66963567,5.04375,64,307.7863,-28,0,0.2.1
1776142589641675000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,67263465,5.045,64,324.8855,-28,0,0.2.1
1776142589741996000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,67363555,5.045,64,324.8855,-28,0,0.2.1
1776142589841828000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,67463572,4.9525,64,315.1145,-28,0,0.2.1
1776142590043923000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,67663520,5.045,64,315.1145,-28,0,0.2.1
1776142590243286000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,67863435,5.045,64,324.8855,-28,0,0.2.1
1776142590441558000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,68063484,5.04375,64,324.8855,-28,0,0.2.1
1776142590641796000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,68263447,5.04375,64,324.8855,-28,0,0.2.1
1776142590742028000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,68363567,5.04375,64,324.8855,-28,0,0.2.1
1776142591241696000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,68863446,5.045,64,324.8855,-28,0,0.2.1
1776142591341753000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,68963503,5.04375,64,324.8855,-28,0,0.2.1
1776142591541855000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,69163485,5.0475,64,324.8855,-28,0,0.2.1
1776142591641925000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,69263498,5.04375,64,324.8855,-34,0,0.2.1
1776142591742079000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,69363498,5.04375,64,324.8855,-28,0,0.2.1
1776142591941816000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,69563524,5.04375,64,324.8855,-28,0,0.2.1
