pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1774940985101950000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,71,button,1188389434.0,-47.0,,,,,,,0,0.1.1
1774940987821637000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,72,button,1191107415.0,-53.0,,,,,,,0,0.1.1
1774940990864868000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,73,button,1194152999.0,-51.0,,,,,,,0,0.1.1
1774940993433494000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,74,button,1196721278.0,-45.0,,,,,,,0,0.1.1
1774940995808940000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,75,button,1199095086.0,-44.0,,,,,,,0,0.1.1
1774940998282839000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,76,button,1201570791.0,-44.0,,,,,,,0,0.1.1
1774941000738526000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,77,button,1204020597.0,-50.0,,,,,,,0,0.1.1
1774941003215769000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,78,button,1206502717.0,-44.0,,,,,,,0,0.1.1
1774941006202190000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,79,button,1209490017.0,-50.0,,,,,,,0,0.1.1
1774941008748059000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,80,button,1212035874.0,-50.0,,,,,,,0,0.1.1
1774941011249451000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,81,button,1214537208.0,-50.0,,,,,,,0,0.1.1
1774941013922725000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,82,button,1217208173.0,-45.0,,,,,,,0,0.1.1
1774941016505252000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,83,button,1219786260.0,-44.0,,,,,,,0,0.1.1
1774941018982125000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,84,button,1222269878.0,-50.0,,,,,,,0,0.1.1
1774941021746942000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,85,button,1225034810.0,-49.0,,,,,,,0,0.1.1
1774941024041885000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,86,button,1227329628.0,-51.0,,,,,,,0,0.1.1
1774941026719114000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,87,button,1230007241.0,-46.0,,,,,,,0,0.1.1
1774941029690681000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,88,button,1232978313.0,-51.0,,,,,,,0,0.1.1
1774941032129472000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,89,button,1235417140.0,-45.0,,,,,,,0,0.1.1
