pi_rx_time_ns,address,name,rssi,company_id,version,node_num,exp_code,seq,t_local_us,raw_hex,pipeline_version,pi_time_us,raw_delay_ms,norm_delay_ms
1774882759355788000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-59,4660,2,1,W1BL,61,1976214898,02015731424c3d00000072a5ca75,0.1.1,1774882759355788.0,1774880783140.89,119.830810546875
1774882762651350000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-49,4660,2,1,W1BL,62,1979632391,02015731424c3e00000007cbfe75,0.1.1,1774882762651350.0,1774880783018.959,-2.10009765625
1774882765375832000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-49,4660,2,1,W1BL,63,1982403396,02015731424c3f00000044132976,0.1.1,1774882765375832.0,1774880782972.436,-48.623046875
1774882768163321000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-55,4660,2,1,W1BL,64,1985187127,02015731424c40000000378d5376,0.1.1,1774882768163321.0,1774880782976.194,-44.864990234375
1774882771450348000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-59,4660,2,1,W1BL,65,1988525204,02015731424c41000000947c8676,0.1.1,1774882771450348.0,1774880782925.144,-95.9150390625
1774882775055315000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-58,4660,2,1,W1BL,66,1992130341,02015731424c42000000257fbd76,0.1.1,1774882775055315.0,1774880782924.974,-96.0849609375
1774882778069932000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-55,4660,2,1,W1BL,67,1994930317,02015731424c430000008d38e876,0.1.1,1774882778069932.0,1774880783139.615,118.555908203125
1774882781065517000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-49,4660,2,1,W1BL,68,1997909073,02015731424c4400000051ac1577,0.1.1,1774882781065517.0,1774880783156.444,135.385009765625
1774882783760591000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-49,4660,2,1,W1BL,69,2000791413,02015731424c4500000075a74177,0.1.1,1774882783760591.0,1774880782969.178,-51.881103515625
1774882786777167000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-59,4660,2,1,W1BL,70,2003588660,02015731424c4600000034566c77,0.1.1,1774882786777167.0,1774880783188.507,167.447998046875
1774882789508669000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-57,4660,2,1,W1BL,71,2006499432,02015731424c4700000068c09877,0.1.1,1774882789508669.0,1774880783009.237,-11.822021484375
1774882792460404000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-59,4660,2,1,W1BL,72,2009535453,02015731424c48000000dd13c777,0.1.1,1774882792460404.0,1774880782924.951,-96.108154296875
1774882795474803000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-54,4660,2,1,W1BL,73,2012416486,02015731424c49000000e609f377,0.1.1,1774882795474803.0,1774880783058.317,37.2578125
1774882799065950000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-54,4660,2,1,W1BL,74,2016003941,02015731424c4a00000065c72978,0.1.1,1774882799065950.0,1774880783062.009,40.949951171875
1774882802684558000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-54,4660,2,1,W1BL,75,2019757544,02015731424c4b000000e80d6378,0.1.1,1774882802684558.0,1774880782927.014,-94.045166015625
1774882805995498000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-58,4660,2,1,W1BL,76,2023069843,02015731424c4c00000093989578,0.1.1,1774882805995498.0,1774880782925.655,-95.404052734375
1774882808974828000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-58,4660,2,1,W1BL,77,2026002824,02015731424c4d0000008859c278,0.1.1,1774882808974828.0,1774880782972.004,-49.05517578125
1774882812269318000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-49,4660,2,1,W1BL,78,2028931235,02015731424c4e000000a308ef78,0.1.1,1774882812269318.0,1774880783338.083,317.02392578125
1774882814658837000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-54,4660,2,1,W1BL,79,2031559920,02015731424c4f000000f0241779,0.1.1,1774882814658837.0,1774880783098.917,77.85791015625
1774882817359199000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-53,4660,2,1,W1BL,80,2034067432,02015731424c50000000e8673d79,0.1.1,1774882817359199.0,1774880783291.767,270.7080078125
1774882819448449000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-50,4660,2,1,W1BL,81,2036304100,02015731424c51000000e4885f79,0.1.1,1774882819448449.0,1774880783144.349,123.2900390625
1774882820986951000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-55,4660,2,1,W1BL,82,2038011123,02015731424c52000000f3947979,0.1.1,1774882820986951.0,1774880782975.828,-45.231201171875
1774882824880789000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-50,4660,2,1,W1BL,84,2041902711,02015731424c5400000077f6b479,0.1.1,1774882824880789.0,1774880782978.078,-42.981201171875
1774882826373673000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-55,4660,2,1,W1BL,85,2043445848,02015731424c550000005882cc79,0.1.1,1774882826373673.0,1774880782927.825,-93.234130859375
1774882827908478000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-57,4660,2,1,W1BL,86,2044933991,02015731424c560000006737e379,0.1.1,1774882827908478.0,1774880782974.487,-46.572021484375
1774882829656425000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-50,4660,2,1,W1BL,87,2046541441,02015731424c5700000081befb79,0.1.1,1774882829656425.0,1774880783114.984,93.9248046875
1774882831172678000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-54,4660,2,1,W1BL,88,2048071763,02015731424c580000005318137a,0.1.1,1774882831172678.0,1774880783100.915,79.85595703125
1774882832393979000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-51,4660,2,1,W1BL,89,2049376977,02015731424c59000000d102277a,0.1.1,1774882832393979.0,1774880783017.002,-4.05712890625
1774882835083948000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-50,4660,2,1,W1BL,90,2052154091,02015731424c5a000000eb62517a,0.1.1,1774882835083948.0,1774880782929.857,-91.2021484375
1774882837466608000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-53,4660,2,1,W1BL,91,2054168701,02015731424c5b0000007d20707a,0.1.1,1774882837466608.2,1774880783297.9072,276.84814453125
1774882840468554000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-50,4660,2,1,W1BL,92,2057315237,02015731424c5c000000a523a07a,0.1.1,1774882840468554.0,1774880783153.317,132.2578125
1774882843172941000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-50,4660,2,1,W1BL,93,2060115449,02015731424c5d000000f9ddca7a,0.1.1,1774882843172941.0,1774880783057.492,36.432861328125
1774882845853596000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-51,4660,2,1,W1BL,94,2062924767,02015731424c5e000000dfbbf57a,0.1.1,1774882845853596.0,1774880782928.829,-92.22998046875
1774882848550403000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-51,4660,2,1,W1BL,95,2065622101,02015731424c5f00000055e41e7b,0.1.1,1774882848550403.0,1774880782928.302,-92.757080078125
1774882851362602000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-51,4660,2,1,W1BL,96,2068209837,02015731424c60000000ad60467b,0.1.1,1774882851362602.0,1774880783152.765,131.705810546875
1774882853793100000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-54,4660,2,1,W1BL,97,2070699670,02015731424c61000000965e6c7b,0.1.1,1774882853793100.0,1774880783093.43,72.370849609375
1774882856150181000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-58,4660,2,1,W1BL,98,2073179539,02015731424c620000009335927b,0.1.1,1774882856150181.0,1774880782970.642,-50.4169921875
1774882858604912000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-59,4660,2,1,W1BL,99,2075448877,02015731424c630000002dd6b47b,0.1.1,1774882858604912.2,1774880783156.0352,134.97607421875
1774882860965363000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-53,4660,2,1,W1BL,100,2077623095,02015731424c640000003703d67b,0.1.1,1774882860965363.0,1774880783342.268,321.208984375
1774882862765863000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-54,4660,2,1,W1BL,101,2079625169,02015731424c65000000d18ff47b,0.1.1,1774882862765863.0,1774880783140.694,119.635009765625
