type,seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi
power_sample,142,W2_wifi_periodic_1s_quiet_ctrl_v1,16380422,5.048750,5.975000,64.977097,305.343506,-29
power_sample,143,W2_wifi_periodic_1s_quiet_ctrl_v1,16480430,5.048750,5.082500,64.390839,327.328247,-35
power_sample,144,W2_wifi_periodic_1s_quiet_ctrl_v1,16580435,5.051250,5.072500,64.488548,324.885498,-29
power_sample,145,W2_wifi_periodic_1s_quiet_ctrl_v1,16680488,5.050000,5.627500,64.781670,327.328247,-29
power_sample,146,W2_wifi_periodic_1s_quiet_ctrl_v1,16780417,5.047500,6.425000,64.977097,327.328247,-28
power_sample,147,W2_wifi_periodic_1s_quiet_ctrl_v1,16880450,5.048750,5.097500,64.293121,324.885498,-36
power_sample,148,W2_wifi_periodic_1s_quiet_ctrl_v1,16980455,5.047500,5.347500,64.488548,324.885498,-27
power_sample,149,W2_wifi_periodic_1s_quiet_ctrl_v1,17080482,4.881250,14.767500,139.627472,725.496155,-27
power_sample,150,W2_wifi_periodic_1s_quiet_ctrl_v1,17180446,4.881250,13.509999,140.018311,688.854919,-25
power_sample,151,W2_wifi_periodic_1s_quiet_ctrl_v1,17280424,4.887500,13.122499,129.172516,632.671753,-25
power_sample,152,W2_wifi_periodic_1s_quiet_ctrl_v1,17380461,5.050000,5.722500,64.683968,327.328247,-27
power_sample,153,W2_wifi_periodic_1s_quiet_ctrl_v1,17480431,5.048750,5.082500,64.781670,324.885498,-26
power_sample,154,W2_wifi_periodic_1s_quiet_ctrl_v1,17580492,5.055000,4.970000,64.293121,324.885498,-27
power_sample,155,W2_wifi_periodic_1s_quiet_ctrl_v1,17680473,5.050000,5.397500,64.488548,324.885498,-25
power_sample,156,W2_wifi_periodic_1s_quiet_ctrl_v1,17780417,5.050000,6.192500,64.586258,315.114502,-26
power_sample,157,W2_wifi_periodic_1s_quiet_ctrl_v1,17880431,5.050000,4.875000,64.195419,324.885498,-23
power_sample,158,W2_wifi_periodic_1s_quiet_ctrl_v1,17980458,5.048750,4.997500,64.293121,324.885498,-22
power_sample,159,W2_wifi_periodic_1s_quiet_ctrl_v1,18080414,5.051250,5.755000,64.390839,324.885498,-23
power_sample,160,W2_wifi_periodic_1s_quiet_ctrl_v1,18180417,5.050000,5.022500,64.683968,324.885498,-23
power_sample,161,W2_wifi_periodic_1s_quiet_ctrl_v1,18280429,4.900000,12.450000,147.737396,725.496155,-23
power_sample,162,W2_wifi_periodic_1s_quiet_ctrl_v1,18380461,5.050000,5.590000,64.293121,324.885498,-26
power_sample,163,W2_wifi_periodic_1s_quiet_ctrl_v1,18480455,5.050000,6.392500,64.488548,324.885498,-26
power_sample,164,W2_wifi_periodic_1s_quiet_ctrl_v1,18580417,5.050000,4.997500,64.195419,324.885498,-26
power_sample,165,W2_wifi_periodic_1s_quiet_ctrl_v1,18680489,5.051250,5.187500,64.195419,324.885498,-26
power_sample,166,W2_wifi_periodic_1s_quiet_ctrl_v1,18780435,5.050000,5.930000,64.293121,300.458008,-25
power_sample,167,W2_wifi_periodic_1s_quiet_ctrl_v1,18880455,5.048750,5.035000,64.195419,324.885498,-24
power_sample,168,W2_wifi_periodic_1s_quiet_ctrl_v1,18980446,5.052500,5.092500,63.999996,324.885498,-26
power_sample,169,W2_wifi_periodic_1s_quiet_ctrl_v1,19080455,5.050000,5.655000,64.195419,324.885498,-26
power_sample,170,W2_wifi_periodic_1s_quiet_ctrl_v1,19180458,5.050000,6.412500,64.293121,324.885498,-25
power_sample,171,W2_wifi_periodic_1s_quiet_ctrl_v1,19280449,4.890000,6.390000,138.650375,681.526733,-26
power_sample,172,W2_wifi_periodic_1s_quiet_ctrl_v1,19380497,5.048750,5.332500,64.195419,324.885498,-24
