pi_rx_time_ns,topic,type,node,protocol,exp,t_local_us,bus_v,current_mA,power_mW,wifi_rssi,mqtt_retain,pipeline_version
1776100481538590000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,11008471,5.0375,79.63358,400.6107,-28,0,0.2.1
1776100481638563000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,11108507,5.04375,64.87939,332.2137,-27,0,0.2.1
1776100481738439000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,11208458,5.045,65.17252,327.3282,-27,0,0.2.1
1776100481838421000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,11308519,4.8775,83.24886,403.0534,-28,0,0.2.1
1776100481938390000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,11408528,5.04375,64.78167,315.1145,-28,0,0.2.1
1776100482038454000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,11508479,5.04375,65.27023,332.2137,-27,0,0.2.1
1776100482138498000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,11608523,5.04375,65.17252,327.3282,-27,0,0.2.1
1776100482238510000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,11708545,5.0425,65.07481,327.3282,-27,0,0.2.1
1776100482338538000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,11808468,5.04375,64.9771,332.2137,-27,0,0.2.1
1776100482437406000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,11908493,5.04875,65.17252,327.3282,-27,0,0.2.1
1776100482538466000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,12008460,5.04125,65.46564,327.3282,-28,0,0.2.1
1776100482638595000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,12108542,5.04375,65.07481,327.3282,-27,0,0.2.1
1776100482740247000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,12208485,5.0425,65.27023,327.3282,-28,0,0.2.1
1776100482850994000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,12308552,4.8725,148.226,720.6107,-28,0,0.2.1
1776100482938618000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,12408475,5.0425,65.17252,307.7863,-28,0,0.2.1
1776100483038644000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,12508531,5.04375,65.27023,332.2137,-28,0,0.2.1
1776100483138550000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,12608485,5.045,65.07481,327.3282,-28,0,0.2.1
1776100483238378000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,12708472,5.0425,65.27023,327.3282,-28,0,0.2.1
1776100483338294000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,12808533,5.0425,65.07481,332.2137,-28,0,0.2.1
1776100483440671000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,12908531,5.04375,65.27023,327.3282,-28,0,0.2.1
1776100483540997000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,13008460,5.04125,65.36794,327.3282,-27,0,0.2.1
1776100483638476000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,13108479,5.0425,65.27023,320,-27,0,0.2.1
1776100483738501000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,13208523,5.04375,65.56336,332.2137,-27,0,0.2.1
1776100483838514000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,13308494,4.88375,145.1969,708.3969,-26,0,0.2.1
1776100483938794000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,13408544,5.04125,65.27023,305.3435,-28,0,0.2.1
1776100484040171000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,13508519,5.04375,65.36794,332.2137,-27,0,0.2.1
1776100484140172000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,13608500,5.04625,65.36794,327.3282,-27,0,0.2.1
1776100484241293000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,13708546,5.0425,65.36794,327.3282,-27,0,0.2.1
1776100484354474000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,13808485,5.045,65.36794,327.3282,-27,0,0.2.1
1776100484451191000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,13908546,4.87,111.6824,564.2748,-27,0,0.2.1
1776100484551474000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,14008495,5.0425,65.46564,327.3282,-26,0,0.2.1
1776100484647284000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,14108542,5.0425,65.36794,315.1145,-27,0,0.2.1
1776100484738498000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,14208510,5.04125,65.36794,332.2137,-28,0,0.2.1
1776100484838509000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,14308511,4.94125,139.7252,691.2977,-28,0,0.2.1
1776100484940302000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,14408515,5.04375,65.36794,327.3282,-27,0,0.2.1
1776100485038597000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,14508535,5.0425,65.36794,332.2137,-28,0,0.2.1
1776100485138772000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,14608538,5.04875,65.36794,327.3282,-27,0,0.2.1
1776100485238547000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,14708545,5.04375,65.46564,332.2137,-27,0,0.2.1
1776100485338494000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,14808468,5.0425,65.36794,324.8855,-27,0,0.2.1
