type,seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi
power_sample,156,W2_wifi_idle_quiet_ctrl_v1,17780454,5.050000,5.045000,64.390839,327.328247,-24
power_sample,157,W2_wifi_idle_quiet_ctrl_v1,17880502,5.050000,5.167500,64.879387,327.328247,-23
power_sample,158,W2_wifi_idle_quiet_ctrl_v1,17980425,5.047500,5.707500,64.488548,324.885498,-24
power_sample,159,W2_wifi_idle_quiet_ctrl_v1,18080447,5.048750,6.507500,64.293121,332.213715,-25
power_sample,160,W2_wifi_idle_quiet_ctrl_v1,18180446,5.048750,5.145000,64.977097,327.328247,-24
power_sample,161,W2_wifi_idle_quiet_ctrl_v1,18280477,4.892500,12.875000,143.535873,701.068726,-24
power_sample,162,W2_wifi_idle_quiet_ctrl_v1,18380445,5.050000,6.187500,64.195419,312.671753,-24
power_sample,163,W2_wifi_idle_quiet_ctrl_v1,18480421,5.048750,5.140000,65.074806,327.328247,-25
power_sample,164,W2_wifi_idle_quiet_ctrl_v1,18580502,5.048750,4.980000,64.977097,327.328247,-23
power_sample,165,W2_wifi_idle_quiet_ctrl_v1,18680444,5.047500,5.802500,64.683968,327.328247,-25
power_sample,166,W2_wifi_idle_quiet_ctrl_v1,18780426,5.048750,5.165000,64.390839,327.328247,-23
power_sample,167,W2_wifi_idle_quiet_ctrl_v1,18880482,5.052500,5.087500,65.074806,327.328247,-25
power_sample,168,W2_wifi_idle_quiet_ctrl_v1,18980502,5.048750,5.717500,65.172516,327.328247,-24
power_sample,169,W2_wifi_idle_quiet_ctrl_v1,19080445,5.048750,6.447500,64.586258,327.328247,-25
power_sample,170,W2_wifi_idle_quiet_ctrl_v1,19180470,5.050000,5.092500,64.977097,327.328247,-24
power_sample,171,W2_wifi_idle_quiet_ctrl_v1,19280417,4.937500,5.155000,139.529770,688.854919,-24
power_sample,172,W2_wifi_idle_quiet_ctrl_v1,19380464,5.050000,6.102500,64.879387,307.786255,-24
power_sample,173,W2_wifi_idle_quiet_ctrl_v1,19480444,5.050000,5.200000,65.074806,327.328247,-24
power_sample,174,W2_wifi_idle_quiet_ctrl_v1,19580530,5.048750,8.370000,64.977097,327.328247,-23
power_sample,175,W2_wifi_idle_quiet_ctrl_v1,19680424,5.050000,5.735000,65.074806,327.328247,-24
power_sample,176,W2_wifi_idle_quiet_ctrl_v1,19780499,5.047500,5.200000,64.879387,327.328247,-24
power_sample,177,W2_wifi_idle_quiet_ctrl_v1,19880432,5.048750,5.200000,64.977097,327.328247,-24
